        MR        MRT         R2
 1.058E+03  3.195E+02  9.116E-02
 1.351E+03  5.727E+02  1.797E-01
 5.789E+02  3.030E+02  2.740E-01
 9.234E+02  4.559E+02  2.438E-01
 2.536E+03  5.362E+02  4.473E-02
 1.567E+03  6.736E+02  1.848E-01
 1.603E+03  6.702E+02  1.747E-01
 1.013E+03  1.546E+02  2.328E-02
 1.791E+03  6.423E+02  1.286E-01
 1.782E+03  8.120E+02  2.077E-01
 8.284E+02  6.541E+02  6.233E-01
 1.614E+03  2.219E+02  1.889E-02
 8.111E+02  6.580E+02  6.580E-01
 1.016E+03  4.150E+02  1.668E-01
 6.786E+02  5.391E+02  6.311E-01
 9.467E+02  6.450E+02  4.642E-01
 5.845E+02  2.592E+02  1.967E-01
 6.053E+02  3.146E+02  2.702E-01
 1.112E+03  4.605E+02  1.714E-01
 9.847E+02  5.734E+02  3.390E-01
 8.066E+02  1.041E+02  1.666E-02
 1.002E+03  7.507E+02  5.607E-01
 7.529E+02  5.579E+02  5.491E-01
 1.159E+03  7.736E+02  4.455E-01
 1.162E+03  4.040E+02  1.208E-01
 9.536E+02  5.776E+02  3.669E-01
 1.597E+03  8.663E+02  2.943E-01
 8.953E+02  2.623E+02  8.585E-02
 1.780E+03  8.345E+02  2.198E-01
 1.150E+03  7.100E+02  3.811E-01
 1.360E+03  8.312E+02  3.734E-01
 8.187E+02  6.658E+02  6.613E-01
 1.028E+03  1.952E+02  3.607E-02
 1.551E+03  8.350E+02  2.899E-01
 4.666E+02  4.434E+02  9.029E-01
 1.118E+03  5.218E+02  2.180E-01
 4.295E+02  4.001E+02  8.677E-01
 1.583E+03  3.314E+02  4.384E-02
 9.664E+02  2.605E+02  7.266E-02
 8.323E+02  6.795E+02  6.665E-01
 5.376E+02  1.686E+02  9.834E-02
 1.099E+03  3.101E+02  7.958E-02
 1.045E+03  5.094E+02  2.376E-01
 4.746E+02  2.602E+02  3.005E-01
 1.110E+03  3.447E+02  9.651E-02
 1.262E+03  3.265E+02  6.692E-02
 1.003E+03  7.430E+02  5.491E-01
 9.696E+02  3.700E+02  1.456E-01
 1.594E+03  6.648E+02  1.740E-01
 8.667E+02  2.623E+02  9.162E-02
 5.761E+02  2.503E+02  1.887E-01
 1.031E+03  7.070E+02  4.703E-01
 4.993E+02  3.575E+02  5.126E-01
 1.433E+03  4.814E+02  1.129E-01
 4.967E+02  3.769E+02  5.759E-01
 7.955E+02  3.686E+02  2.147E-01
 1.304E+03  7.936E+02  3.702E-01
 1.341E+03  4.310E+02  1.033E-01
 1.410E+03  8.883E+02  3.971E-01
 9.908E+02  8.014E+02  6.542E-01
